model_id,iso3,country,macroregion,program_group,keyword_group,program_label_ru,teaching_language,teaching_language_rationale,expected_student_gap,representation_gap,representation_gap_q025,representation_gap_q50,representation_gap_q975,probability_positive_representation_gap,probability_top20_unrealized_potential,actual_students_latest,actual_period,potential_students_2026,model_based_attraction_capacity,demographic_continuity_baseline,country_opportunity_point_score,country_opportunity_score,country_opportunity_score_low,country_opportunity_score_high,country_opportunity_uncertainty_adjustment,friendliness_ex_ante_score,friendliness_lower_bound,friendliness_upper_bound,friendliness_coverage,friendliness_reliability_class,survey_component_available,program_fit_score,program_fit_inputs_json,program_fit_evidence_status,program_labor_demand_score,labor_demand_score_p05,labor_demand_score_p95,query_count,verified_fixture_vacancy_matches,priority_balanced,priority_recruitment,priority_labor_market,priority_academic_fit,combined_country_program_priority_score,management_priority_index,priority_weight_sensitivity_min,priority_weight_sensitivity_max,priority_scenario_min,priority_scenario_max,priority_scenario_range,priority_evidence_low,priority_evidence_high,priority_evidence_width,priority_decision_tier,scenario_scores_json,scenario_evidence_low_json,scenario_evidence_high_json,scenario_weights_json,score_semantics,expected_effect_type,expected_effect_value,expected_effect_low,expected_effect_high,expected_effect_target,expected_effect_estimation_status,evaluation_horizon_months,recommended_evaluation_design,recommended_evaluation_kpis,labor_metric_semantics,source_key,observation_status,recruitment_instrument,rank_country_program_priority,rank_balanced,rank_recruitment,rank_labor_market,rank_academic_fit,rank_scenario_min,rank_scenario_max,rank_stability_width
country_program_priority_evidence_v4,ARE,United Arab Emirates,Middle East & North Africa,management_public,management_public,Управление и государственная политика,english_with_optional_russian_preparatory_module,CLDR indicates a material functional English-language environment.,422.2036215977997,422.2036215977997,152.4241827480876,386.14354791454286,893.5732988371658,1.0,0.585,81.0,2023,467.78144244204356,467.78144244204356,45.5778208442438,86.74034870599367,86.74034870599367,72.18794126743218,97.47549294327301,point_score multiplied by probability of positive structural gap,63.640581482835266,36.14058148283527,91.14058148283529,0.45,limited,False,77.36199306319074,"{""diplomatic_analytic"": 0.7604462803960823, ""economic_legal"": 0.793380405985645}",calculated_from_existing_mgimo_country_profile_scores,95.82415369148119,86.55673351637238,99.07229069328204,2,3,82.29163507230847,78.25812000712226,84.80238168165145,80.03856117331216,81.16509812281032,81.16509812281032,78.25812000712226,84.80238168165145,78.25812000712226,84.80238168165145,6.544261674529196,61.01815868326996,92.89112536926557,31.872966685995607,A_evidence_supported_pilot,"{""academic_fit"": 80.03856117331216, ""balanced"": 82.29163507230847, ""labor_market"": 84.80238168165145, ""recruitment"": 78.25812000712226}","{""academic_fit"": 69.33566885997033, ""balanced"": 67.68433794484673, ""labor_market"": 71.92754374481254, ""recruitment"": 61.01815868326996}","{""academic_fit"": 87.31178128598783, ""balanced"": 92.35969965784714, ""labor_market"": 92.89112536926557, ""recruitment"": 91.45293649995129}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,regularized_relative_demand_signal_from_overlapping_queries_not_unique_vacancies,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v3;trudvsem_program_demand_v4;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble,employer_linked_program_campaign_and_case_competitions,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
country_program_priority_evidence_v4,ARE,United Arab Emirates,Middle East & North Africa,languages_regional,languages_regional,Иностранные языки и регионоведение,english_with_optional_russian_preparatory_module_plus_target_region_language,CLDR indicates a material functional English-language environment.,422.2036215977997,422.2036215977997,152.4241827480876,386.14354791454286,893.5732988371658,1.0,0.585,81.0,2023,467.78144244204356,467.78144244204356,45.5778208442438,86.74034870599367,86.74034870599367,72.18794126743218,97.47549294327301,point_score multiplied by probability of positive structural gap,63.640581482835266,36.14058148283527,91.14058148283529,0.45,limited,False,76.7033105513995,"{""diplomatic_analytic"": 0.7604462803960823, ""economic_legal"": 0.793380405985645}",calculated_from_existing_mgimo_country_profile_scores,90.84379582436037,85.35385228314937,94.68543083289845,2,1,80.8616009914114,77.71463863466286,82.67127033226186,79.10601588159584,79.98380843650361,79.98380843650361,77.71463863466286,82.67127033226186,77.71463863466286,82.67127033226186,4.9566316975989935,60.83102359605606,90.97224545105331,30.141221854997248,A_evidence_supported_pilot,"{""academic_fit"": 79.10601588159584, ""balanced"": 80.8616009914114, ""labor_market"": 82.67127033226186, ""recruitment"": 77.71463863466286}","{""academic_fit"": 68.92961555369104, ""balanced"": 67.29032790913037, ""labor_market"": 71.36060347388896, ""recruitment"": 60.83102359605606}","{""academic_fit"": 86.39785630225614, ""balanced"": 90.97224545105331, ""labor_market"": 90.8825330741506, ""recruitment"": 90.8903262525227}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,regularized_relative_demand_signal_from_overlapping_queries_not_unique_vacancies,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v3;trudvsem_program_demand_v4;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble,employer_linked_program_campaign_and_case_competitions,2,2.0,2.0,2.0,2.0,2.0,2.0,0.0
country_program_priority_evidence_v4,SRB,Serbia,Europe & Central Asia,management_public,management_public,Управление и государственная политика,english_plus_russian_preparatory_year,No broad Russian or English functional-language signal is available in CLDR.,1862.9553713367163,1862.9553713367163,1003.314755628782,1669.0585884881532,2555.963289644219,1.0,1.0,360.0,2023,2193.7618868849218,2193.7618868849218,330.80651554820554,100.0,100.0,99.1351007594011,100.0,point_score multiplied by probability of positive structural gap,63.29199926677249,35.79199926677249,90.79199926677249,0.45,limited,False,56.00080941714967,"{""diplomatic_analytic"": 0.5691819653788429, ""economic_legal"": 0.5462472873604773}",calculated_from_existing_mgimo_country_profile_scores,95.82415369148119,86.55673351637238,99.07229069328204,2,3,80.45957644148751,77.55839810648212,81.7777795906452,71.78381343267941,79.00898727398481,79.00898727398481,71.78381343267941,81.7777795906452,71.78381343267941,81.7777795906452,9.993966157965787,64.72086870633643,87.55502136921685,22.834152662880413,A_evidence_supported_pilot,"{""academic_fit"": 71.78381343267941, ""balanced"": 80.45957644148751, ""labor_market"": 81.7777795906452, ""recruitment"": 77.55839810648212}","{""academic_fit"": 64.89005048888396, ""balanced"": 69.64152543513501, ""labor_market"": 71.75718690112481, ""recruitment"": 64.72086870633643}","{""academic_fit"": 76.09799782379056, ""balanced"": 87.25822232334342, ""labor_market"": 87.55502136921685, ""recruitment"": 86.58770185976609}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,regularized_relative_demand_signal_from_overlapping_queries_not_unique_vacancies,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v3;trudvsem_program_demand_v4;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble,employer_linked_program_campaign_and_case_competitions,3,3.0,3.0,3.0,4.0,3.0,4.0,1.0
country_program_priority_evidence_v4,SAU,Saudi Arabia,Middle East & North Africa,management_public,management_public,Управление и государственная политика,english_plus_russian_preparatory_year,No broad Russian or English functional-language signal is available in CLDR.,1026.3129269398264,1026.3129269398264,284.272999661452,949.7248809518235,2573.4925989010617,1.0,0.925,162.0,2023,1177.466179032725,1177.466179032725,151.1532520928985,99.4598271878937,99.4598271878937,81.08363336162641,100.0,point_score multiplied by probability of positive structural gap,64.23914038531943,36.73914038531942,91.73914038531943,0.45,limited,False,53.237479730301665,"{""diplomatic_analytic"": 0.5548085172035764, ""economic_legal"": 0.4987242174521772}",calculated_from_existing_mgimo_country_profile_scores,95.82415369148119,86.55673351637238,99.07229069328204,2,3,79.7687916422024,76.963770704004,81.05987236420961,70.25630404212812,78.3662811731032,78.3662811731032,70.25630404212812,81.05987236420961,70.25630404212812,81.05987236420961,10.803568322081489,59.63589086790072,86.82274041994634,27.186849552045622,A_evidence_supported_pilot,"{""academic_fit"": 70.25630404212812, ""balanced"": 79.7687916422024, ""labor_market"": 81.05987236420961, ""recruitment"": 76.963770704004}","{""academic_fit"": 60.609371111211715, ""balanced"": 65.29211907104164, ""labor_market"": 68.53918552234657, ""recruitment"": 59.63589086790072}","{""academic_fit"": 74.52985582432801, ""balanced"": 86.57284784877292, ""labor_market"": 86.82274041994634, ""recruitment"": 85.99582748759664}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,regularized_relative_demand_signal_from_overlapping_queries_not_unique_vacancies,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v3;trudvsem_program_demand_v4;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble,employer_linked_program_campaign_and_case_competitions,4,4.0,5.0,4.0,8.0,4.0,8.0,4.0
country_program_priority_evidence_v4,SRB,Serbia,Europe & Central Asia,languages_regional,languages_regional,Иностранные языки и регионоведение,english_plus_russian_preparatory_year_plus_target_region_language,No broad Russian or English functional-language signal is available in CLDR.,1862.9553713367163,1862.9553713367163,1003.314755628782,1669.0585884881532,2555.963289644219,1.0,1.0,360.0,2023,2193.7618868849218,2193.7618868849218,330.80651554820554,100.0,100.0,99.1351007594011,100.0,point_score multiplied by probability of positive structural gap,63.29199926677249,35.79199926677249,90.79199926677249,0.45,limited,False,56.45950297751698,"{""diplomatic_analytic"": 0.5691819653788429, ""economic_legal"": 0.5462472873604773}",calculated_from_existing_mgimo_country_profile_scores,90.84379582436037,85.35385228314937,94.68543083289845,2,1,79.32201626869255,77.27368273807103,79.98549459622224,71.47477917546423,78.2978495033818,78.2978495033818,71.47477917546423,79.98549459622224,71.47477917546423,79.98549459622224,8.510715420758004,64.73508504720141,86.33871469532455,21.603629648123146,A_evidence_supported_pilot,"{""academic_fit"": 71.47477917546423, ""balanced"": 79.32201626869255, ""labor_market"": 79.98549459622224, ""recruitment"": 77.27368273807103}","{""academic_fit"": 64.98951798857158, ""balanced"": 69.4643687520837, ""labor_market"": 71.42628258107547, ""recruitment"": 64.73508504720141}","{""academic_fit"": 75.86114716774098, ""balanced"": 86.23074180757585, ""labor_market"": 85.94420840525405, ""recruitment"": 86.33871469532455}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,regularized_relative_demand_signal_from_overlapping_queries_not_unique_vacancies,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v3;trudvsem_program_demand_v4;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble,employer_linked_program_campaign_and_case_competitions,5,5.0,4.0,5.0,5.0,4.0,5.0,1.0
country_program_priority_evidence_v4,SAU,Saudi Arabia,Middle East & North Africa,languages_regional,languages_regional,Иностранные языки и регионоведение,english_plus_russian_preparatory_year_plus_target_region_language,No broad Russian or English functional-language signal is available in CLDR.,1026.3129269398264,1026.3129269398264,284.272999661452,949.7248809518235,2573.4925989010617,1.0,0.925,162.0,2023,1177.466179032725,1177.466179032725,151.1532520928985,99.4598271878937,99.4598271878937,81.08363336162641,100.0,point_score multiplied by probability of positive structural gap,64.23914038531943,36.73914038531942,91.73914038531943,0.45,limited,False,54.35916572532966,"{""diplomatic_analytic"": 0.5548085172035764, ""economic_legal"": 0.4987242174521772}",calculated_from_existing_mgimo_country_profile_scores,90.84379582436037,85.35385228314937,94.68543083289845,2,1,78.83713891672815,76.87249124103167,79.481064379352,70.3470244873989,77.85481507887991,77.85481507887991,70.3470244873989,79.481064379352,70.3470244873989,79.481064379352,9.134039891953108,59.79776264703444,85.96241036925194,26.164647722217502,A_evidence_supported_pilot,"{""academic_fit"": 70.3470244873989, ""balanced"": 78.83713891672815, ""labor_market"": 79.481064379352, ""recruitment"": 76.87249124103167}","{""academic_fit"": 61.04345673890962, ""balanced"": 65.28845939876386, ""labor_market"": 68.39327822723516, ""recruitment"": 59.79776264703444}","{""academic_fit"": 74.71548045839054, ""balanced"": 85.76681920101635, ""labor_market"": 85.43796305402357, ""recruitment"": 85.96241036925194}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,regularized_relative_demand_signal_from_overlapping_queries_not_unique_vacancies,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v3;trudvsem_program_demand_v4;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble,employer_linked_program_campaign_and_case_competitions,6,6.0,6.0,7.0,7.0,6.0,7.0,1.0
country_program_priority_evidence_v4,TUR,Türkiye,Europe & Central Asia,management_public,management_public,Управление и государственная политика,english_plus_russian_preparatory_year,No broad Russian or English functional-language signal is available in CLDR.,6271.814851981322,6271.814851981322,2042.3232068749053,5788.136878229314,13356.513997275884,1.0,0.9983333333333333,911.0,2023,7040.885969507942,7040.885969507942,769.0711175266194,100.0,100.0,100.0,100.0,point_score multiplied by probability of positive structural gap,62.29229519979871,34.7922951997987,89.7922951997987,0.45,limited,False,49.49368854176477,"{""diplomatic_analytic"": 0.5353755707969705, ""economic_legal"": 0.4342788573486635}",calculated_from_existing_mgimo_country_profile_scores,95.82415369148119,86.55673351637238,99.07229069328204,2,3,78.28665545344934,75.34565619687463,79.63163200571097,67.813451068346,76.81615582516199,76.81615582516199,67.813451068346,79.63163200571097,67.813451068346,79.63163200571097,11.818180937364971,61.323583905976406,85.31765263388628,23.994068727909877,A_evidence_supported_pilot,"{""academic_fit"": 67.813451068346, ""balanced"": 78.28665545344934, ""labor_market"": 79.63163200571097, ""recruitment"": 75.34565619687463}","{""academic_fit"": 61.323583905976406, ""balanced"": 67.77464208091153, ""labor_market"": 69.86972767934941, ""recruitment"": 62.8666639326109}","{""academic_fit"": 71.93994288353713, ""balanced"": 84.98189459355333, ""labor_market"": 85.31765263388628, ""recruitment"": 84.23657059759674}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,regularized_relative_demand_signal_from_overlapping_queries_not_unique_vacancies,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v3;trudvsem_program_demand_v4;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble,employer_linked_program_campaign_and_case_competitions,7,7.0,10.0,6.0,14.0,6.0,14.0,8.0
country_program_priority_evidence_v4,TUR,Türkiye,Europe & Central Asia,languages_regional,languages_regional,Иностранные языки и регионоведение,english_plus_russian_preparatory_year_plus_target_region_language,No broad Russian or English functional-language signal is available in CLDR.,6271.814851981322,6271.814851981322,2042.3232068749053,5788.136878229314,13356.513997275884,1.0,0.9983333333333333,911.0,2023,7040.885969507942,7040.885969507942,769.0711175266194,100.0,100.0,100.0,100.0,point_score multiplied by probability of positive structural gap,62.29229519979871,34.7922951997987,89.7922951997987,0.45,limited,False,51.51562281073091,"{""diplomatic_analytic"": 0.5353755707969705, ""economic_legal"": 0.4342788573486635}",calculated_from_existing_mgimo_country_profile_scores,90.84379582436037,85.35385228314937,94.68543083289845,2,1,77.66366096208641,75.53967565248523,78.37465692901505,68.47765888364876,76.60166830728582,76.60166830728582,68.47765888364876,78.37465692901505,68.47765888364876,78.37465692901505,9.896998045366288,62.28729826435014,84.52090916806995,22.233610903719807,A_evidence_supported_pilot,"{""academic_fit"": 68.47765888364876, ""balanced"": 77.66366096208641, ""labor_market"": 78.37465692901505, ""recruitment"": 75.53967565248523}","{""academic_fit"": 62.28729826435014, ""balanced"": 68.0260363922582, ""labor_market"": 69.98352436388974, ""recruitment"": 63.2746739636567}","{""academic_fit"": 72.73158057446116, ""balanced"": 84.50770088135178, ""labor_market"": 84.27302276932068, ""recruitment"": 84.52090916806995}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,regularized_relative_demand_signal_from_overlapping_queries_not_unique_vacancies,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v3;trudvsem_program_demand_v4;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble,employer_linked_program_campaign_and_case_competitions,8,8.0,9.0,10.0,12.0,8.0,12.0,4.0
country_program_priority_evidence_v4,BLR,Belarus,Europe & Central Asia,management_public,management_public,Управление и государственная политика,russian_or_bilingual_russian_english,CLDR indicates a material functional Russian-language environment.,30445.19890863655,30445.19890863655,6973.544032391695,27907.71738493421,62381.01638589323,1.0,1.0,9369.0,2023,40657.59366868813,40657.59366868813,10212.394760051584,100.0,100.0,100.0,100.0,point_score multiplied by probability of positive structural gap,68.04837138372176,48.048371383721744,88.04837138372174,0.6,limited,False,42.33135253957809,"{""diplomatic_analytic"": 0.4456061003463963, ""economic_legal"": 0.3898746629698579}",calculated_from_existing_mgimo_country_profile_scores,95.82415369148119,86.55673351637238,99.07229069328204,2,3,77.26117135704288,75.00876718041467,78.24724136772454,64.13432856796962,76.13496926872878,76.13496926872878,64.13432856796962,78.24724136772454,64.13432856796962,78.24724136772454,14.112912799754923,60.01462564071759,82.50655914296077,22.491933502243178,A_evidence_supported_pilot,"{""academic_fit"": 64.13432856796962, ""balanced"": 77.26117135704288, ""labor_market"": 78.24724136772454, ""recruitment"": 75.00876718041467}","{""academic_fit"": 60.01462564071759, ""balanced"": 70.00793554601007, ""labor_market"": 71.04398872594938, ""recruitment"": 67.01684175086739}","{""academic_fit"": 66.95930747706868, ""balanced"": 82.10220781739855, ""labor_market"": 82.50655914296077, ""recruitment"": 81.22445447538101}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,regularized_relative_demand_signal_from_overlapping_queries_not_unique_vacancies,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v3;trudvsem_program_demand_v4;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble,russian_language_track_alumni_and_school_network,9,9.0,11.0,11.0,31.0,9.0,31.0,22.0
country_program_priority_evidence_v4,BLR,Belarus,Europe & Central Asia,languages_regional,languages_regional,Иностранные языки и регионоведение,russian_or_bilingual_russian_english_plus_target_region_language,CLDR indicates a material functional Russian-language environment.,30445.19890863655,30445.19890863655,6973.544032391695,27907.71738493421,62381.01638589323,1.0,1.0,9369.0,2023,40657.59366868813,40657.59366868813,10212.394760051584,100.0,100.0,100.0,100.0,point_score multiplied by probability of positive structural gap,68.04837138372176,48.048371383721744,88.04837138372174,0.6,limited,False,43.445981287108864,"{""diplomatic_analytic"": 0.4456061003463963, ""economic_legal"": 0.3898746629698579}",calculated_from_existing_mgimo_country_profile_scores,90.84379582436037,85.35385228314937,94.68543083289845,2,1,76.43410302884246,74.99368423767085,76.7988713684822,64.3597107865624,75.71389363325665,75.71389363325665,64.3597107865624,76.7988713684822,64.3597107865624,76.7988713684822,12.439160581919793,60.57864297250758,81.41800927264981,20.83936630014223,A_evidence_supported_pilot,"{""academic_fit"": 64.3597107865624, ""balanced"": 76.43410302884246, ""labor_market"": 76.7988713684822, ""recruitment"": 74.99368423767085}","{""academic_fit"": 60.57864297250758, ""balanced"": 70.07304199433912, ""labor_market"": 70.96265598976773, ""recruitment"": 67.26501209810658}","{""academic_fit"": 67.27510184549953, ""balanced"": 81.41800927264981, ""labor_market"": 81.27068409556351, ""recruitment"": 81.27295518347088}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,regularized_relative_demand_signal_from_overlapping_queries_not_unique_vacancies,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v3;trudvsem_program_demand_v4;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble,russian_language_track_alumni_and_school_network,10,12.0,12.0,16.0,29.0,12.0,29.0,17.0
