model_id,iso3,country,macroregion,program_group,keyword_group,program_label_ru,teaching_language,teaching_language_rationale,expected_student_gap,representation_gap,representation_gap_q025,representation_gap_q50,representation_gap_q975,probability_positive_representation_gap,probability_top20_unrealized_potential,actual_students_latest,actual_period,potential_students_2026,model_based_attraction_capacity,demographic_continuity_baseline,country_opportunity_point_score,country_opportunity_score,country_opportunity_score_low,country_opportunity_score_high,country_opportunity_uncertainty_adjustment,friendliness_ex_ante_score,friendliness_lower_bound,friendliness_upper_bound,friendliness_coverage,friendliness_reliability_class,survey_component_available,program_fit_score,program_fit_inputs_json,program_fit_evidence_status,program_labor_demand_score,labor_demand_score_p05,labor_demand_score_p95,query_count,verified_fixture_vacancy_matches,priority_balanced,priority_recruitment,priority_labor_market,priority_academic_fit,combined_country_program_priority_score,management_priority_index,priority_weight_sensitivity_min,priority_weight_sensitivity_max,priority_scenario_min,priority_scenario_max,priority_scenario_range,priority_evidence_low,priority_evidence_high,priority_evidence_width,priority_decision_tier,scenario_scores_json,scenario_evidence_low_json,scenario_evidence_high_json,scenario_weights_json,score_semantics,expected_effect_type,expected_effect_value,expected_effect_low,expected_effect_high,expected_effect_target,expected_effect_estimation_status,evaluation_horizon_months,recommended_evaluation_design,recommended_evaluation_kpis,labor_metric_semantics,source_key,observation_status,recruitment_instrument,rank_country_program_priority,rank_balanced,rank_recruitment,rank_labor_market,rank_academic_fit,rank_scenario_min,rank_scenario_max,rank_stability_width,classified_unique_vacancies,input_unique_vacancies,labor_classified_snapshot_coverage
country_program_priority_evidence_v5,ARE,United Arab Emirates,Middle East & North Africa,digital_analytics,digital_analytics,Цифровая аналитика и Data/AI,english_with_optional_russian_preparatory_module,CLDR indicates a material functional English-language environment.,422.2036215977997,422.2036215977997,152.4241827480876,386.14354791454286,893.5732988371658,1.0,0.585,81.0,2023,467.7814424420436,467.7814424420436,45.5778208442438,86.74034870599367,86.74034870599367,72.18794126743218,97.47549294327301,point_score multiplied by probability of positive structural gap,63.64058148283527,36.14058148283527,91.14058148283527,0.45,limited,False,78.8858002227002,"{""digital_finance_business_informatics"": 0.7877274012873411, ""economic_legal"": 0.793380405985645}",calculated_from_existing_mgimo_country_profile_scores,80.99834319526626,80.86266231881814,84.12359954610515,6,1284,78.59138189294602,77.26527785917456,78.99516097549075,78.74741937945292,78.66940063619947,78.66940063619947,77.26527785917456,78.99516097549075,77.26527785917456,78.99516097549075,1.7298831163161879,60.84313069729244,90.33251299014485,29.48938229285241,B_targeted_validation,"{""academic_fit"": 78.74741937945292, ""balanced"": 78.59138189294602, ""labor_market"": 78.99516097549075, ""recruitment"": 77.26527785917456}","{""academic_fit"": 69.23728170962535, ""balanced"": 66.58860283678828, ""labor_market"": 70.05294446443696, ""recruitment"": 60.84313069729244}","{""academic_fit"": 85.96014152419322, ""balanced"": 88.32348096956734, ""labor_market"": 86.7018391890682, ""recruitment"": 90.33251299014485}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,relative_record_level_program_demand_not_search_totals,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v4;trudvsem_program_demand_v5;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble_v5,employer_linked_program_campaign_and_case_competitions,1,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1284,29046,0.04420574261516216
country_program_priority_evidence_v5,BLR,Belarus,Europe & Central Asia,digital_analytics,digital_analytics,Цифровая аналитика и Data/AI,russian_or_bilingual_russian_english,CLDR indicates a material functional Russian-language environment.,30445.19890863655,30445.19890863655,6973.544032391695,27907.71738493421,62381.01638589323,1.0,1.0,9369.0,2023,40657.59366868813,40657.59366868813,10212.394760051584,100.0,100.0,100.0,100.0,point_score multiplied by probability of positive structural gap,68.04837138372176,48.048371383721744,88.04837138372174,0.6,limited,False,60.276877736121946,"{""digital_finance_business_informatics"": 0.6559923059590598, ""economic_legal"": 0.3898746629698579}",calculated_from_existing_mgimo_country_profile_scores,80.99834319526626,80.86266231881814,84.12359954610515,6,1284,78.7782946418922,79.06659585230787,77.81933717994832,73.11159018973416,78.29881591092027,78.29881591092027,73.11159018973416,79.06659585230787,73.11159018973416,79.06659585230787,5.955005662573711,69.43829057210105,85.65629664377953,16.218006071678474,B_targeted_validation,"{""academic_fit"": 73.11159018973416, ""balanced"": 78.7782946418922, ""labor_market"": 77.81933717994832, ""recruitment"": 79.06659585230787}","{""academic_fit"": 69.43829057210105, ""balanced"": 73.53346680989469, ""labor_market"": 73.87279898735027, ""recruitment"": 71.34482307818145}","{""academic_fit"": 76.38249610681348, ""balanced"": 83.82519149459465, ""labor_market"": 82.21832309937545, ""recruitment"": 85.65629664377953}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,relative_record_level_program_demand_not_search_totals,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v4;trudvsem_program_demand_v5;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble_v5,russian_language_track_alumni_and_school_network,2,1.0,1.0,3.0,4.0,1.0,4.0,3.0,1284,29046,0.04420574261516216
country_program_priority_evidence_v5,SRB,Serbia,Europe & Central Asia,digital_analytics,digital_analytics,Цифровая аналитика и Data/AI,english_plus_russian_preparatory_year,No broad Russian or English functional-language signal is available in CLDR.,1862.9553713367163,1862.9553713367163,1003.314755628782,1669.0585884881532,2555.963289644219,1.0,1.0,360.0,2023,2193.7618868849218,2193.7618868849218,330.80651554820554,100.0,100.0,99.1351007594011,100.0,point_score multiplied by probability of positive structural gap,63.29199926677249,35.79199926677249,90.79199926677248,0.45,limited,False,64.0769290812764,"{""digital_finance_business_informatics"": 0.6643997916758356, ""economic_legal"": 0.5462472873604773}",calculated_from_existing_mgimo_country_profile_scores,80.99834319526626,80.86266231881814,84.12359954610515,6,1284,78.60195679838301,78.32856549234593,77.92272571375007,74.31824472726147,78.125645603048,78.125645603048,74.31824472726147,78.60195679838301,74.31824472726147,78.60195679838301,4.283712071121542,66.01356314923908,87.48609513448304,21.47253198524396,B_targeted_validation,"{""academic_fit"": 74.31824472726147, ""balanced"": 78.60195679838301, ""labor_market"": 77.92272571375007, ""recruitment"": 78.32856549234593}","{""academic_fit"": 68.18569503511739, ""balanced"": 70.08359561739378, ""labor_market"": 71.48796779474166, ""recruitment"": 66.01356314923908}","{""academic_fit"": 78.83686825577983, ""balanced"": 85.35646257069564, ""labor_market"": 83.59331084284479, ""recruitment"": 87.48609513448304}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,relative_record_level_program_demand_not_search_totals,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v4;trudvsem_program_demand_v5;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble_v5,employer_linked_program_campaign_and_case_competitions,3,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1284,29046,0.04420574261516216
country_program_priority_evidence_v5,SAU,Saudi Arabia,Middle East & North Africa,digital_analytics,digital_analytics,Цифровая аналитика и Data/AI,english_plus_russian_preparatory_year,No broad Russian or English functional-language signal is available in CLDR.,1026.3129269398264,1026.3129269398264,284.272999661452,949.7248809518236,2573.4925989010617,1.0,0.925,162.0,2023,1177.466179032725,1177.466179032725,151.1532520928985,99.4598271878937,99.4598271878937,81.08363336162641,100.0,point_score multiplied by probability of positive structural gap,64.23914038531943,36.73914038531942,91.73914038531944,0.45,limited,False,57.552768881965946,"{""digital_finance_business_informatics"": 0.59472855666153, ""economic_legal"": 0.4987242174521772}",calculated_from_existing_mgimo_country_profile_scores,80.99834319526626,80.86266231881814,84.12359954610515,6,1284,77.06000110035599,76.8631291783646,76.3792023001153,70.92838571686812,76.62116573923996,76.62116573923996,70.92838571686812,77.06000110035599,70.92838571686812,77.06000110035599,6.131615383487869,60.15017981051136,85.92124888192814,25.771069071416775,B_targeted_validation,"{""academic_fit"": 70.92838571686812, ""balanced"": 77.06000110035599, ""labor_market"": 76.3792023001153, ""recruitment"": 76.8631291783646}","{""academic_fit"": 62.10417488285227, ""balanced"": 64.97544241861252, ""labor_market"": 67.5222440986664, ""recruitment"": 60.15017981051136}","{""academic_fit"": 75.29259632860403, ""balanced"": 83.74369764814384, ""labor_market"": 81.97177499433153, ""recruitment"": 85.92124888192814}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,relative_record_level_program_demand_not_search_totals,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v4;trudvsem_program_demand_v5;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble_v5,employer_linked_program_campaign_and_case_competitions,4,4.0,4.0,4.0,8.0,4.0,8.0,4.0,1284,29046,0.04420574261516216
country_program_priority_evidence_v5,TUR,Türkiye,Europe & Central Asia,digital_analytics,digital_analytics,Цифровая аналитика и Data/AI,english_plus_russian_preparatory_year,No broad Russian or English functional-language signal is available in CLDR.,6271.814851981322,6271.814851981322,2042.3232068749053,5788.136878229314,13356.513997275884,1.0,0.9983333333333332,911.0,2023,7040.885969507942,7040.885969507942,769.0711175266194,100.0,100.0,100.0,100.0,point_score multiplied by probability of positive structural gap,62.29229519979871,34.7922951997987,89.7922951997987,0.45,limited,False,58.560603240911234,"{""digital_finance_business_informatics"": 0.6234378261742245, ""economic_legal"": 0.4342788573486635}",calculated_from_existing_mgimo_country_profile_scores,80.99834319526626,80.86266231881814,84.12359954610515,6,1284,76.98011368257221,76.59223709382552,76.37471982882661,71.24656777011134,76.48347846132606,76.48347846132606,71.24656777011134,76.98011368257221,71.24656777011134,76.98011368257221,5.733545912460869,64.54230098980396,85.66801218708802,21.125711197284062,B_targeted_validation,"{""academic_fit"": 71.24656777011134, ""balanced"": 76.98011368257221, ""labor_market"": 76.37471982882661, ""recruitment"": 76.59223709382552}","{""academic_fit"": 65.39158604499407, ""balanced"": 68.65157812221251, ""labor_market"": 70.06349375686128, ""recruitment"": 64.54230098980396}","{""academic_fit"": 75.63196872824233, ""balanced"": 83.6742154307623, ""labor_market"": 81.99069330172827, ""recruitment"": 85.66801218708802}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,relative_record_level_program_demand_not_search_totals,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v4;trudvsem_program_demand_v5;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble_v5,employer_linked_program_campaign_and_case_competitions,5,5.0,5.0,5.0,7.0,5.0,7.0,2.0,1284,29046,0.04420574261516216
country_program_priority_evidence_v5,AZE,Azerbaijan,Europe & Central Asia,digital_analytics,digital_analytics,Цифровая аналитика и Data/AI,english_plus_russian_preparatory_year,No broad Russian or English functional-language signal is available in CLDR.,15116.55996574624,15116.55996574624,8152.10522003389,13587.33892593225,18211.214328846352,1.0,1.0,5965.0,2023,22566.20697470832,22566.20697470832,7449.647008962082,100.0,100.0,100.0,100.0,point_score multiplied by probability of positive structural gap,65.98981332659201,38.489813326592014,93.489813326592,0.45,limited,False,51.329791009164815,"{""digital_finance_business_informatics"": 0.5506126980610637, ""economic_legal"": 0.3640387582139859}",calculated_from_existing_mgimo_country_profile_scores,80.99834319526626,80.86266231881814,84.12359954610515,6,1284,75.86965603698917,75.91718808964043,75.05960956043384,67.79038439901657,75.4646327987115,75.4646327987115,67.79038439901657,75.91718808964043,67.79038439901657,75.91718808964043,8.12680369062386,62.60826396345356,84.48458421865959,21.876320255206032,B_targeted_validation,"{""academic_fit"": 67.79038439901657, ""balanced"": 75.86965603698917, ""labor_market"": 75.05960956043384, ""recruitment"": 75.91718808964043}","{""academic_fit"": 62.60826396345356, ""balanced"": 68.22563931107791, ""labor_market"": 69.28737405926336, ""recruitment"": 64.77554660999049}","{""academic_fit"": 71.78129108315842, ""balanced"": 82.18959314347256, ""labor_market"": 80.37536176395099, ""recruitment"": 84.48458421865959}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,relative_record_level_program_demand_not_search_totals,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v4;trudvsem_program_demand_v5;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble_v5,employer_linked_program_campaign_and_case_competitions,6,6.0,6.0,7.0,16.0,6.0,16.0,10.0,1284,29046,0.04420574261516216
country_program_priority_evidence_v5,ARE,United Arab Emirates,Middle East & North Africa,international_economics,international_economics,Международная экономика и ВЭД,english_with_optional_russian_preparatory_module,CLDR indicates a material functional English-language environment.,422.2036215977997,422.2036215977997,152.4241827480876,386.14354791454286,893.5732988371658,1.0,0.585,81.0,2023,467.7814424420436,467.7814424420436,45.5778208442438,86.74034870599367,86.74034870599367,72.18794126743218,97.47549294327301,point_score multiplied by probability of positive structural gap,63.64058148283527,36.14058148283527,91.14058148283527,0.45,limited,False,80.56457452755672,"{""economic_legal"": 0.793380405985645, ""energy_logistics"": 0.8424417631453338}",calculated_from_existing_mgimo_country_profile_scores,63.80753253946275,63.58040409631885,64.03323363437521,6,723,73.54064675142317,75.78317713479096,71.35527259524996,76.7315171421031,74.66191194310707,74.66191194310707,71.35527259524996,76.7315171421031,71.35527259524996,76.7315171421031,5.376244546853144,59.664971714509285,88.2996589403543,28.63468722584502,B_targeted_validation,"{""academic_fit"": 76.7315171421031, ""balanced"": 73.54064675142317, ""labor_market"": 71.35527259524996, ""recruitment"": 75.78317713479096}","{""academic_fit"": 67.4460680353145, ""balanced"": 62.274574341282204, ""labor_market"": 63.22509541527099, ""recruitment"": 59.664971714509285}","{""academic_fit"": 83.33440146124006, ""balanced"": 81.8103375694835, ""labor_market"": 77.12996303479409, ""recruitment"": 88.2996589403543}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,relative_record_level_program_demand_not_search_totals,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v4;trudvsem_program_demand_v5;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble_v5,targeted_digital_campaign_with_local_partner_validation,7,10.0,7.0,14.0,2.0,2.0,14.0,12.0,723,29046,0.024891551332369345
country_program_priority_evidence_v5,OMN,Oman,Middle East & North Africa,digital_analytics,digital_analytics,Цифровая аналитика и Data/AI,english_plus_russian_preparatory_year,No broad Russian or English functional-language signal is available in CLDR.,502.2737759432396,502.2737759432396,181.76656300783029,459.8299838341703,1134.674504600226,1.0,0.7316666666666667,24.0,2023,525.6770071533053,525.6770071533053,23.403231210065687,89.22560124148004,89.22560124148004,74.69789611085542,100.0,point_score multiplied by probability of positive structural gap,64.2690828943247,36.76908289432469,91.7690828943247,0.45,limited,False,58.22142183561647,"{""digital_finance_business_informatics"": 0.5899268177911736, ""economic_legal"": 0.5513638206161292}",calculated_from_existing_mgimo_country_profile_scores,80.99834319526626,80.86266231881814,84.12359954610515,6,1284,74.79220772461197,73.80725728115895,74.93052242734699,69.4070257220753,74.29973250288546,74.29973250288546,69.4070257220753,74.93052242734699,69.4070257220753,74.93052242734699,5.523496705271683,58.37910521550297,86.12493729308736,27.74583207758439,B_targeted_validation,"{""academic_fit"": 69.4070257220753, ""balanced"": 74.79220772461197, ""labor_market"": 74.93052242734699, ""recruitment"": 73.80725728115895}","{""academic_fit"": 61.17843986193885, ""balanced"": 63.57005428001007, ""labor_market"": 66.59632423121413, ""recruitment"": 58.37910521550297}","{""academic_fit"": 75.68197025389047, ""balanced"": 83.93951412231036, ""labor_market"": 82.16212203868436, ""recruitment"": 86.12493729308736}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,relative_record_level_program_demand_not_search_totals,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v4;trudvsem_program_demand_v5;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble_v5,employer_linked_program_campaign_and_case_competitions,8,7.0,9.0,8.0,9.0,7.0,9.0,2.0,1284,29046,0.04420574261516216
country_program_priority_evidence_v5,DJI,Djibouti,Middle East & North Africa,digital_analytics,digital_analytics,Цифровая аналитика и Data/AI,english_plus_russian_preparatory_year,No broad Russian or English functional-language signal is available in CLDR.,239.3738803499215,239.3738803499215,50.49768958489623,219.4528350835213,743.5658002040125,1.0,0.1883333333333333,25.0,2023,271.619502406588,271.619502406588,32.24562205666646,78.62749291035662,78.62749291035662,56.530848916296335,94.84302000290357,point_score multiplied by probability of positive structural gap,63.19730844112152,35.69730844112152,90.69730844112152,0.45,limited,False,69.82138419295816,"{""digital_finance_business_informatics"": 0.7338958180338613, ""economic_legal"": 0.5554859375124632}",calculated_from_existing_mgimo_country_profile_scores,80.99834319526626,80.86266231881814,84.12359954610515,6,1284,74.41753976874597,72.4056203763158,75.55512433887097,72.73051389316178,73.57402683095387,73.57402683095387,72.4056203763158,75.55512433887097,72.4056203763158,75.55512433887097,3.1495039625551726,53.74903500367005,87.10592133823003,33.35688633455998,B_targeted_validation,"{""academic_fit"": 72.73051389316178, ""balanced"": 74.41753976874597, ""labor_market"": 75.55512433887097, ""recruitment"": 72.4056203763158}","{""academic_fit"": 61.64329120862179, ""balanced"": 60.33014163538013, ""labor_market"": 65.05421426063977, ""recruitment"": 53.74903500367005}","{""academic_fit"": 80.81718491911337, ""balanced"": 85.44093001035718, ""labor_market"": 84.12006227686408, ""recruitment"": 87.10592133823003}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,relative_record_level_program_demand_not_search_totals,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v4;trudvsem_program_demand_v5;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble_v5,employer_linked_program_campaign_and_case_competitions,9,8.0,15.0,6.0,6.0,6.0,15.0,9.0,1284,29046,0.04420574261516216
country_program_priority_evidence_v5,KWT,Kuwait,Middle East & North Africa,digital_analytics,digital_analytics,Цифровая аналитика и Data/AI,english_plus_russian_preparatory_year,No broad Russian or English functional-language signal is available in CLDR.,426.5126688777632,426.5126688777632,166.10656193694516,401.9018406801363,914.5455521053924,1.0,0.6533333333333333,8.0,2023,432.9517961166805,432.9517961166805,6.439127238917247,86.88564352408495,86.88564352408495,73.41313797911597,97.8078518624332,point_score multiplied by probability of positive structural gap,63.39358801580428,35.89358801580428,90.89358801580428,0.45,limited,False,58.989951838628066,"{""digital_finance_business_informatics"": 0.5941730167153727, ""economic_legal"": 0.572805525069912}",calculated_from_existing_mgimo_country_profile_scores,80.99834319526626,80.86266231881814,84.12359954610515,6,1284,74.1958745360405,72.92808318252426,74.57900670495971,69.2134658164706,73.56197885928239,73.56197885928239,69.2134658164706,74.57900670495971,69.2134658164706,74.57900670495971,5.365540888489107,57.722885262499645,85.34959656621957,27.62671130371993,B_targeted_validation,"{""academic_fit"": 69.2134658164706, ""balanced"": 74.1958745360405, ""labor_market"": 74.57900670495971, ""recruitment"": 72.92808318252426}","{""academic_fit"": 61.05649585107784, ""balanced"": 63.11101322738993, ""labor_market"": 66.30641168915575, ""recruitment"": 57.722885262499645}","{""academic_fit"": 75.59831225966668, ""balanced"": 83.44566921387812, ""labor_market"": 81.89698104514194, ""recruitment"": 85.34959656621957}","{""academic_fit"": {""country_opportunity"": 0.25, ""friendliness"": 0.15, ""labor_demand"": 0.15, ""program_fit"": 0.45}, ""balanced"": {""country_opportunity"": 0.3, ""friendliness"": 0.2, ""labor_demand"": 0.3, ""program_fit"": 0.2}, ""labor_market"": {""country_opportunity"": 0.2, ""friendliness"": 0.15, ""labor_demand"": 0.45, ""program_fit"": 0.2}, ""recruitment"": {""country_opportunity"": 0.4, ""friendliness"": 0.3, ""labor_demand"": 0.1, ""program_fit"": 0.2}}",uncertainty_adjusted_management_priority_index_not_predicted_student_count,not_identified_ex_ante,,,,"incremental qualified applications, offers and enrolments attributable to the recruitment intervention",requires_prospective_campaign_evaluation,24,pre_registered_country_program_campaign_with_matched_comparison_or_stepped_wedge_rollout,qualified_leads;applications;offers;enrolments;yield;cost_per_enrolment,relative_record_level_program_demand_not_search_totals,ppml_russia_inbound_structural_allocation_v3;friendliness_receptivity_ex_ante_v4;trudvsem_program_demand_v5;mgimo_program_profiles,calculated_uncertainty_aware_scenario_ensemble_v5,employer_linked_program_campaign_and_case_competitions,10,9.0,12.0,9.0,10.0,9.0,12.0,3.0,1284,29046,0.04420574261516216
